time,lon,lat,dis24,geometry
2018-01-01,83.65000000000003,29.85,32.201096,POINT (83.65000000000003 29.85)
2018-01-01,83.65000000000003,29.85,32.20109558105469,POINT (83.65000000000003 29.85)
2018-01-01,83.75,29.85,32.221717834472656,POINT (83.75 29.85)
2018-01-01,84.05000000000001,29.549999999999997,40.45017623901367,POINT (84.05000000000001 29.549999999999997)
2018-01-01,84.35000000000002,29.549999999999997,43.1005973815918,POINT (84.35000000000002 29.549999999999997)
2018-01-01,84.75,29.25,53.99623107910156,POINT (84.75 29.25)
2018-01-01,85.45000000000005,29.25,73.87026977539062,POINT (85.45000000000005 29.25)
2018-01-01,87.65000000000003,29.15,92.12374114990234,POINT (87.65000000000003 29.15)
2018-01-01,87.75,29.25,92.29715728759766,POINT (87.75 29.25)
2018-01-01,87.95000000000005,29.35,130.2725067138672,POINT (87.95000000000005 29.35)
2018-01-01,88.65000000000003,29.35,150.47088623046875,POINT (88.65000000000003 29.35)
2018-01-01,91.05000000000001,29.35,413.1665344238281,POINT (91.05000000000001 29.35)
2018-01-01,92.05000000000001,29.25,447.3269348144531,POINT (92.05000000000001 29.25)
2018-01-01,93.25,29.049999999999997,514.7320556640625,POINT (93.25 29.049999999999997)
2018-01-01,93.65000000000003,29.15,545.0729370117188,POINT (93.65000000000003 29.15)
2018-01-01,94.35000000000002,29.35,620.6149291992188,POINT (94.35000000000002 29.35)
2018-01-01,94.85000000000002,29.549999999999997,811.8499145507812,POINT (94.85000000000002 29.549999999999997)
2018-01-01,95.15000000000003,29.85,1126.093505859375,POINT (95.15000000000003 29.85)
2018-01-01,95.25,29.85,1128.467529296875,POINT (95.25 29.85)
2018-01-01,95.25,29.75,1136.3021240234375,POINT (95.25 29.75)
2018-01-01,95.35000000000002,29.549999999999997,1163.9224853515625,POINT (95.35000000000002 29.549999999999997)
2018-01-01,95.35000000000002,29.35,1206.668701171875,POINT (95.35000000000002 29.35)
2018-01-01,94.85000000000002,28.950000000000003,1273.78076171875,POINT (94.85000000000002 28.950000000000003)
2018-01-01,94.85000000000002,28.85,1303.5927734375,POINT (94.85000000000002 28.85)
2018-01-01,95.05000000000001,28.549999999999997,1319.7838134765625,POINT (95.05000000000001 28.549999999999997)
2018-01-01,95.05000000000001,28.15,1409.0994873046875,POINT (95.05000000000001 28.15)
2018-01-01,95.35000000000002,28.049999999999997,1437.96044921875,POINT (95.35000000000002 28.049999999999997)
2018-01-01,95.35000000000002,27.950000000000003,1455.606201171875,POINT (95.35000000000002 27.950000000000003)
2018-01-01,95.25,27.75,1888.66357421875,POINT (95.25 27.75)
2018-01-01,94.85000000000002,27.450000000000003,1996.1075439453125,POINT (94.85000000000002 27.450000000000003)
2018-01-01,94.45000000000005,27.049999999999997,2191.054443359375,POINT (94.45000000000005 27.049999999999997)
2018-01-01,93.75,26.75,2636.341064453125,POINT (93.75 26.75)
2018-01-01,92.65000000000003,26.549999999999997,3102.40283203125,POINT (92.65000000000003 26.549999999999997)
2018-01-01,92.25,26.450000000000003,3215.869873046875,POINT (92.25 26.450000000000003)
