time,lon,lat,dis24,geometry
2015-01-01,83.65000000000003,29.85,31.08043,POINT (83.65000000000003 29.85)
2015-01-01,83.65000000000003,29.85,31.080429077148438,POINT (83.65000000000003 29.85)
2015-01-01,83.75,29.85,31.251619338989258,POINT (83.75 29.85)
2015-01-01,84.05000000000001,29.549999999999997,40.95039367675781,POINT (84.05000000000001 29.549999999999997)
2015-01-01,84.35000000000002,29.549999999999997,44.08677673339844,POINT (84.35000000000002 29.549999999999997)
2015-01-01,84.75,29.25,56.088714599609375,POINT (84.75 29.25)
2015-01-01,85.45000000000005,29.25,78.4811019897461,POINT (85.45000000000005 29.25)
2015-01-01,87.65000000000003,29.15,99.5364990234375,POINT (87.65000000000003 29.15)
2015-01-01,87.75,29.25,99.68920135498047,POINT (87.75 29.25)
2015-01-01,87.95000000000005,29.35,139.20697021484375,POINT (87.95000000000005 29.35)
2015-01-01,88.65000000000003,29.35,161.034912109375,POINT (88.65000000000003 29.35)
2015-01-01,91.05000000000001,29.35,443.1105041503906,POINT (91.05000000000001 29.35)
2015-01-01,92.05000000000001,29.25,485.3309631347656,POINT (92.05000000000001 29.25)
2015-01-01,93.25,29.049999999999997,559.6488647460938,POINT (93.25 29.049999999999997)
2015-01-01,93.65000000000003,29.15,590.6863403320312,POINT (93.65000000000003 29.15)
2015-01-01,94.35000000000002,29.35,659.0272827148438,POINT (94.35000000000002 29.35)
2015-01-01,94.85000000000002,29.549999999999997,841.5975952148438,POINT (94.85000000000002 29.549999999999997)
2015-01-01,95.15000000000003,29.85,1112.7451171875,POINT (95.15000000000003 29.85)
2015-01-01,95.25,29.85,1114.83642578125,POINT (95.25 29.85)
2015-01-01,95.25,29.75,1122.910888671875,POINT (95.25 29.75)
2015-01-01,95.35000000000002,29.549999999999997,1157.734375,POINT (95.35000000000002 29.549999999999997)
2015-01-01,95.35000000000002,29.35,1214.05712890625,POINT (95.35000000000002 29.35)
2015-01-01,94.85000000000002,28.950000000000003,1323.95751953125,POINT (94.85000000000002 28.950000000000003)
2015-01-01,94.85000000000002,28.85,1366.099365234375,POINT (94.85000000000002 28.85)
2015-01-01,95.05000000000001,28.549999999999997,1385.770263671875,POINT (95.05000000000001 28.549999999999997)
2015-01-01,95.05000000000001,28.15,1491.9918212890625,POINT (95.05000000000001 28.15)
2015-01-01,95.35000000000002,28.049999999999997,1518.862060546875,POINT (95.35000000000002 28.049999999999997)
2015-01-01,95.35000000000002,27.950000000000003,1534.0308837890625,POINT (95.35000000000002 27.950000000000003)
2015-01-01,95.25,27.75,1969.14697265625,POINT (95.25 27.75)
2015-01-01,94.85000000000002,27.450000000000003,2013.849609375,POINT (94.85000000000002 27.450000000000003)
2015-01-01,94.45000000000005,27.049999999999997,2091.517822265625,POINT (94.45000000000005 27.049999999999997)
2015-01-01,93.75,26.75,2562.400634765625,POINT (93.75 26.75)
2015-01-01,92.65000000000003,26.549999999999997,3291.138427734375,POINT (92.65000000000003 26.549999999999997)
2015-01-01,92.25,26.450000000000003,3452.021240234375,POINT (92.25 26.450000000000003)
2015-01-01,91.65000000000003,26.15,3696.346923828125,POINT (91.65000000000003 26.15)
2015-01-01,91.25,26.15,3821.832275390625,POINT (91.25 26.15)
2015-01-01,90.65000000000003,26.15,4328.39111328125,POINT (90.65000000000003 26.15)
2015-01-01,90.35000000000002,26.15,4435.287109375,POINT (90.35000000000002 26.15)
2015-01-01,90.15000000000003,26.049999999999997,4530.27685546875,POINT (90.15000000000003 26.049999999999997)
2015-01-01,89.85000000000002,25.849999999999994,4723.21923828125,POINT (89.85000000000002 25.849999999999994)
2015-01-01,89.75,25.650000000000006,5157.87744140625,POINT (89.75 25.650000000000006)
2015-01-01,89.65000000000003,24.950000000000003,5569.64794921875,POINT (89.65000000000003 24.950000000000003)
2015-01-01,89.75,24.549999999999997,5621.8828125,POINT (89.75 24.549999999999997)
2015-01-01,89.65000000000003,23.849999999999994,5678.52734375,POINT (89.65000000000003 23.849999999999994)
2015-01-01,89.95000000000005,23.650000000000006,8858.70703125,POINT (89.95000000000005 23.650000000000006)
2015-01-01,90.25,23.450000000000003,8894.69921875,POINT (90.25 23.450000000000003)
2015-01-01,90.55000000000001,23.25,8928.07421875,POINT (90.55000000000001 23.25)
2015-01-01,90.55000000000001,23.25,8928.07421875,POINT (90.55000000000001 23.25)
2015-01-02,83.65000000000003,29.85,30.945159912109375,POINT (83.65000000000003 29.85)
2015-01-02,83.65000000000003,29.85,30.945159912109375,POINT (83.65000000000003 29.85)
2015-01-02,83.75,29.85,31.111652374267578,POINT (83.75 29.85)
2015-01-02,84.05000000000001,29.549999999999997,40.77107620239258,POINT (84.05000000000001 29.549999999999997)
2015-01-02,84.35000000000002,29.549999999999997,43.81809616088867,POINT (84.35000000000002 29.549999999999997)
2015-01-02,84.75,29.25,55.709381103515625,POINT (84.75 29.25)
2015-01-02,85.45000000000005,29.25,78.07714080810547,POINT (85.45000000000005 29.25)
2015-01-02,87.65000000000003,29.15,98.99952697753906,POINT (87.65000000000003 29.15)
2015-01-02,87.75,29.25,99.14286041259766,POINT (87.75 29.25)
2015-01-02,87.95000000000005,29.35,138.55014038085938,POINT (87.95000000000005 29.35)
2015-01-02,88.65000000000003,29.35,160.28538513183594,POINT (88.65000000000003 29.35)
2015-01-02,91.05000000000001,29.35,439.3224792480469,POINT (91.05000000000001 29.35)
2015-01-02,92.05000000000001,29.25,480.98748779296875,POINT (92.05000000000001 29.25)
2015-01-02,93.25,29.049999999999997,554.720947265625,POINT (93.25 29.049999999999997)
